tig50, qpua_pk50, sea, co
78.225449,396.169617,40.153542,0.019659
78.312393,395.850983,40.148914,0.019659
78.399254,395.532227,40.144314,0.019658
78.486023,395.213440,40.139740,0.019658
78.572708,394.894531,40.135197,0.019657
78.659317,394.575562,40.130676,0.019657
78.745827,394.256531,40.126186,0.019656
78.832253,393.937469,40.121719,0.019656
78.918579,393.618317,40.117279,0.019655
79.004807,393.299072,40.112865,0.019655
79.090942,392.979767,40.108475,0.019654
79.177002,392.660370,40.104111,0.019654
79.262955,392.340881,40.099773,0.019653
79.348801,392.021362,40.095459,0.019653
79.434555,391.701752,40.091171,0.019652
79.520218,391.382019,40.086906,0.019652
79.605766,391.062256,40.082668,0.019651
79.691223,390.742310,40.078453,0.019651
79.776558,390.422363,40.074257,0.019650
79.861801,390.102234,40.070091,0.019650
79.946960,389.782074,40.065941,0.019649
80.031998,389.461792,40.061817,0.019649
80.116913,389.141418,40.057716,0.019648
80.201721,388.820953,40.053635,0.019648
80.286438,388.500366,40.049580,0.019647
80.371040,388.179626,40.045547,0.019647
80.455536,387.858856,40.041534,0.019646
80.539909,387.537933,40.037544,0.019646
80.624161,387.216888,40.033577,0.019645
80.708313,386.895782,40.029629,0.019645
80.792343,386.574463,40.025703,0.019644
80.876274,386.253052,40.021801,0.019644
80.960068,385.931549,40.017914,0.019643
81.043762,385.609924,40.014053,0.019643
81.127335,385.288147,40.010212,0.019642
81.210793,384.966248,40.006386,0.019642
81.294113,384.644226,40.002583,0.019641
81.377342,384.322021,39.998802,0.019641
81.460449,383.999756,39.995041,0.019640
81.543427,383.677307,39.991299,0.019640
81.626274,383.354675,39.987576,0.019639
81.709015,383.031952,39.983871,0.019639
81.791634,382.709045,39.980186,0.019638
81.874123,382.385986,39.976517,0.019638
81.956497,382.062805,39.972874,0.019637
82.038750,381.739380,39.969242,0.019637
82.120880,381.415894,39.965637,0.019636
82.202881,381.092224,39.962040,0.019636
82.284767,380.768341,39.958466,0.019635
82.366524,380.444336,39.954910,0.019635
82.448166,380.120117,39.951370,0.019634
